I,R,B
1,1.0,2.0000000000000002e-07
1,1.0909090909090908,1.8333333333333336e-07
1,1.1818181818181819,1.6923076923076923e-07
1,1.2727272727272727,1.5714285714285714e-07
1,1.3636363636363638,1.4666666666666666e-07
1,1.4545454545454546,1.375e-07
1,1.5454545454545454,1.2941176470588236e-07
1,1.6363636363636362,1.2222222222222222e-07
1,1.7272727272727273,1.1578947368421052e-07
1,1.8181818181818183,1.0999999999999999e-07
1,1.9090909090909092,1.0476190476190476e-07
1,2.0,1.0000000000000001e-07
1,2.090909090909091,9.565217391304349e-08
1,2.1818181818181817,9.166666666666668e-08
1,2.2727272727272725,8.800000000000001e-08
1,2.3636363636363638,8.461538461538461e-08
1,2.4545454545454546,8.148148148148148e-08
1,2.5454545454545454,7.857142857142857e-08
1,2.6363636363636367,7.586206896551724e-08
1,2.7272727272727275,7.333333333333333e-08
1,2.8181818181818183,7.096774193548388e-08
1,2.909090909090909,6.875e-08
1,3.0,6.666666666666667e-08
1,3.090909090909091,6.470588235294118e-08
1,3.1818181818181817,6.285714285714286e-08
1,3.272727272727273,6.111111111111111e-08
1,3.3636363636363638,5.945945945945946e-08
1,3.4545454545454546,5.789473684210526e-08
1,3.5454545454545454,5.641025641025642e-08
1,3.6363636363636362,5.500000000000001e-08
1,3.7272727272727275,5.365853658536585e-08
1,3.8181818181818183,5.238095238095238e-08
1,3.909090909090909,5.116279069767442e-08
1,4.0,5.0000000000000004e-08
1,4.090909090909091,4.8888888888888894e-08
1,4.181818181818182,4.7826086956521745e-08
1,4.272727272727273,4.680851063829787e-08
1,4.363636363636363,4.583333333333334e-08
1,4.454545454545455,4.489795918367347e-08
1,4.545454545454545,4.4000000000000004e-08
1,4.636363636363637,4.313725490196078e-08
1,4.7272727272727275,4.230769230769231e-08
1,4.818181818181818,4.150943396226415e-08
1,4.909090909090909,4.074074074074074e-08
1,5.0,4e-08
1,5.090909090909091,3.9285714285714285e-08
1,5.181818181818182,3.859649122807018e-08
1,5.2727272727272725,3.793103448275863e-08
1,5.363636363636363,3.728813559322034e-08
